continent,country,city,name,latitude,longitude,website,extra
AF,South Africa,Franschhoek,Klein Goederust Wine Farm,-33.88816,19.09079,https://kleingoederust.co.za/,
AF,South Africa,Franschhoek,Boekenhoutskloof Winery,-33.94258,19.10801,http://www.boekenhoutskloof.co.za/,
AF,South Africa,Franschhoek,Allee Bleue Wine Estate,-33.86414,18.97869,http://www.alleebleue.co.za/,
AF,South Africa,Franschhoek,Backsberg Family Wines,-33.90579,19.11071,https://backsberg.co.za/,
AF,South Africa,Franschhoek,Solms Delta Wine Estate,-33.86341,18.99131,https://www.solmsdelta.co/,
AF,South Africa,Franschhoek,Boschendal Accommodation,-33.87679,18.97434,https://www.boschendal.com/accommodation/,
AF,South Africa,Franschhoek,Leeu Passant Winery,-33.9091,19.10375,https://mlfwines.com/discover-leeu-passant/,
AF,South Africa,Franschhoek,Chamonix Wine Farm,-33.89961,19.1275,http://www.chamonix.co.za/,
AF,South Africa,Franschhoek,Holden Manz Wine Estate,-33.93522,19.11513,http://holdenmanz.com/,
AF,South Africa,Franschhoek,Anthonij Rupert - Tasting Room,-33.88733,19.02048,,
AF,South Africa,Franschhoek,Cellar Door Wine Tasting at Boschendal,-33.88534,18.96961,https://www.boschendal.com/eat-drink/cellar-door/?utm_source=google_maps&utm_medium=website_button&utm_campaign=SP&utm_content=SP,
AF,South Africa,Franschhoek,Terra Del Capo - Tasting Room,-33.88163,19.0242,http://www.rupertwines.com/,
AF,South Africa,Franschhoek,The Werf Wine Tasting,-33.87487,18.97584,https://boschendal.com/experiences/werf-wine-tasting/,
AF,South Africa,Franschhoek,Pigcasso,-33.89826,19.11678,http://www.pigcasso.org/,
AF,South Africa,Franschhoek,Anthonij Rupert Wine Farm,-33.88051,19.02416,http://www.rupertwines.com/,
AF,South Africa,Franschhoek,Black Elephant Vintners,-33.90263,19.12179,http://www.bevintners.co.za/,
AF,South Africa,Franschhoek,La Bourgogne Farm,-33.92596,19.11945,,
AF,South Africa,Franschhoek,Colmant Cap Classique and Champagne,-33.92198,19.12501,https://www.colmant.co.za/,3;46;0
AF,South Africa,Franschhoek,Atlas Swift,-33.88842,19.08306,http://www.atlasswift.co.za/,
AF,South Africa,Franschhoek,La Provence Winery,-33.89339,19.09146,http://laprovencevineyards.com/,
AF,South Africa,Franschhoek,Old Road Wine Co.,-33.90386,19.11024,https://www.oldroadwinecompany.com/,3;149;67;4;0;28;5
AF,South Africa,Franschhoek,L'Ormarins Wine Estate,-33.8798,19.003,https://www.rupertwines.com/farms.php?farms_id=1,3;6;2;20;149;183;7;9;1;14;67;12;4;604;69;0;28;66;37;10;634;22;31;5;95;8
AF,South Africa,Franschhoek,Le Vallon Farm,-33.9188,19.12574,http://www.levallonfarm.com/,
AF,South Africa,Franschhoek,Anthonij Rupert Wines - Head Office,-33.88312,19.00394,http://www.rupertwines.com/,
AF,South Africa,Franschhoek,Landau,-33.91855,19.1179,,
